source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,#MakeAmericaGreatAgain #GOPdebate http://t.co/SNrr9YZmou,08-07-2015 04:40:55,1819,4674,false,629512519174918145
Twitter for iPhone,Thank you @TIME readers- a great honor! http://t.co/2KRx2TBETS,08-07-2015 05:03:57,497,1286,false,629518315711500288
Twitter for iPhone,"@FoxNews: @realDonaldTrump: “When you have $18-$19 trillion in debt they need someone like me to straighten it out" http://t.co/hTUJ35ja0Q,08-07-2015 05:12:03,1475,3064,false,629520356487864320
Twitter for iPhone,"@TomNocera: @DanScavino @realDonaldTrump "TRUMP DOMINANT" screams headline in today's Tampa Bay Times. #Trump2016" http://t.co/A08sQFzBLR,08-07-2015 13:47:05,1965,3885,false,629649968693968896
Twitter for iPhone,.@redstate I miss you all and thanks for all of your support. Political correctness is killing our country. "weakness.",08-08-2015 13:26:28,3664,8926,false,630007166129303552
Twitter for iPhone,Another great poll result! Thank you! http://t.co/loMirPFLIZ,08-20-2015 02:23:31,2289,4383,false,634188984097337344
Twitter for iPhone,Thank you New Hampshire! Together we will Make America Great Again! http://t.co/ovxQMw4kob,08-20-2015 02:34:45,1405,3689,false,634191811930628096
Twitter for iPhone,.@jessebwatters You did a great job hosting @oreillyfactor. Everybody loved it! Thank you for the nice words.,08-22-2015 04:06:55,1875,3847,false,634939783257661440
Twitter for iPhone,Great American heroes who averted an attack in France. THANK YOU! Spencer Stone Anthony Sadler &amp; Alex Skarlatos. http://t.co/5P0tX9Mq8u,08-25-2015 19:01:19,3811,8146,false,636252027878789121
Twitter for iPhone,Thank you @BillKristol. I am going to Make America Great Again!,08-25-2015 19:47:52,1192,3516,false,636263744247623681
Twitter for iPhone,Wow! Such nice words from Robert Redford on my running for President. Thank you Robert. http://t.co/TpV3w18BW6,09-08-2015 15:49:11,3620,6113,false,641277106052300800
Twitter for iPhone,On @FallonTonight with @jimmyfallon at 11:30 PM. Enjoy!,09-11-2015 21:27:48,1287,2311,false,642449487768776704
Twitter for iPhone,.@GovernorPerry is a terrific guy and I wish him well- I know he will have a great future!,09-11-2015 21:49:48,1896,3285,false,642455022647812096
Twitter for iPhone,Amazing crowd outside @FallonTonight. Tune in tonight at 11:30. http://t.co/4dxoEV0wia,09-11-2015 22:29:02,1676,2843,false,642464897889095681
Twitter for iPhone,.@mercedesschlapp thank you so much for your kind words on television -- fantastic job and greatly appreciated!,09-12-2015 15:43:51,645,1327,false,642725315777798144
Twitter for iPhone,Trump’s Campaign Hat Becomes an Ironic Summer Accessory - The New York Times. http://t.co/XLELUQfxof,09-12-2015 15:51:38,989,1642,false,642727277755805696
Twitter for iPhone,Donald Trump Sends @FallonTonight to Highest Friday Rating in 18 Months. @JimmyFallon that is #HUGE!http://t.co/mRHdW7dOws,09-12-2015 15:58:47,1846,3603,false,642729073211523072
Twitter for iPhone,Lightweight Senator @RandPaul should focus on trying to get elected in Kentucky--- a great state which is embarrassed by him.,09-12-2015 19:55:54,1156,2463,false,642788749030608896
Twitter for iPhone,I truly understood the appeal of Ron Paul but his son @RandPaul didn't get the right gene.,09-12-2015 19:56:39,1984,3911,false,642788935530344448
Twitter for iPhone,Too many people on stage for debate. @RandPaul at 11th with 2% in @RealClearNews shouldn't be allowed to participate.,09-12-2015 20:01:55,1350,2823,false,642790262532612096
Twitter for iPhone,I am having a great time in Iowa at Jack Trice Stadium! Unbelievable people.,09-12-2015 20:51:32,1211,2928,false,642802749420216320
Twitter for iPhone,#CNNDebate Winning the @drudge_report poll- http://t.co/fokcASBVuN,09-17-2015 03:47:06,1986,3044,false,644356882174476288
Twitter for iPhone,The #CNNDebate was amazing --- so much fun! http://t.co/tj3Cnqp3PU,09-17-2015 03:54:15,2067,5802,false,644358678431334400
Twitter for iPhone,#CNNDebate http://t.co/X4m9WfewX2,09-17-2015 04:04:24,2680,5070,false,644361232900857857
Twitter for iPhone,#CNNDebate http://t.co/0r8fc2zzvY,09-17-2015 04:10:37,1544,2141,false,644362796520615936
Twitter for iPhone,#MakeAmericaGreatAgain #Trump2016 http://t.co/O5v9oX3pyd,09-19-2015 19:31:24,3743,6003,false,645319298513305601
Twitter for iPhone,Thank you Faith and Freedom Forum &amp; @UrbandaleSchool. I had a great time in Iowa today! http://t.co/PeEEHTVtC8,09-20-2015 01:52:36,2138,4393,false,645415231028641792
Twitter for iPhone,#AskTrump Getting ready to answer your questions. http://t.co/MiSqyasjhu,09-21-2015 17:07:15,999,2351,false,646007796593467394
Twitter for iPhone,I had a great time at @TwitterNYC #AskTrump http://t.co/RfWQdDPB33,09-21-2015 17:38:49,710,2148,false,646015739233705984
Twitter for iPhone,#AskTrump @TwitterNYC http://t.co/hJHO1Rk06y,09-21-2015 17:39:52,680,1930,false,646016004351500288
Twitter for iPhone,I will be on the @colbertlateshow tonight at 11:30 http://t.co/BnCG1XqvcW,09-22-2015 22:31:52,1825,3914,false,646451877962477568
Twitter for iPhone,Incompetent @RichLowry lost it tonight on @FoxNews. He should not be allowed on TV and the FCC should fine him!,09-24-2015 01:21:54,2663,4211,false,646857054691414016
Twitter for iPhone,.@FoxNews owes me an apology for allowing clueless pundit @RichLowry to use such foul language on TV. Unheard of!,09-24-2015 01:22:59,2575,5345,false,646857325240827904
Twitter for iPhone,.@politico which is not read or respected by many may be the most dishonest of the media outlets--- and that is saying something.,09-24-2015 21:41:27,1480,2641,false,647163962337964034
Twitter for iPhone,The failing @politico news outlet which I hear is losing lots of money is really dishonest!,09-24-2015 21:42:25,1512,2664,false,647164207327236097
Twitter for iPhone,Great reception in D.C. At the Values Voter Summit. Now checking on my job at the Old Post Office...,09-25-2015 17:06:06,1029,1997,false,647457058468589568
Twitter for iPhone,.....Ahead of schedule and under budget! Will be in Oklahoma tonight!,09-25-2015 17:06:46,1504,3235,false,647457226744070144
